gif_path,orig_frames,comp_frames,dropped,drop_pct,width,height,has_transparency,disposal,orig_duration_ms,comp_duration_ms,duration_preserved,file_size_kb,status
/Users/lachlants/Documents/GIFs/Website/lunar-new-year-2024-hk-vn-sg-6753651837109996-law.gif,3,3,0,0.0,500,200,True,0,600,,,160,ok
/Users/lachlants/Documents/GIFs/Website/64e57f8915d0d761adf6173c_gif_ALIEN_BOOGIE_WEB 1-02.gif,6,6,0,0.0,225,220,True,0,1200,,,59,ok
/Users/lachlants/Documents/GIFs/Website/demo2.9df5a0e5a9f1d72715e0.gif,162,-1,-1,-1.0,2396,1548,False,0,15990,,,1840,engine_silent_failure
/Users/lachlants/Documents/GIFs/Website/chat.gif,105,-1,-1,-1,1100,720,True,0,6990,,,6355,skipped_too_large
/Users/lachlants/Documents/GIFs/Website/clickup.gif,30,-1,-1,-1.0,400,225,True,0,3000,,,1505,engine_silent_failure
/Users/lachlants/Documents/GIFs/Website/www.usemotion.com:blog:pomodoro-technique.gif,309,309,0,0.0,1192,1080,True,0,12540,,,596,ok
/Users/lachlants/Documents/GIFs/Website/dancer.gif,18,18,0,0.0,1142,1872,True,0,1440,,,334,ok
/Users/lachlants/Documents/GIFs/Website/https___dev-to-uploads.s3.amazonaws.com_uploads_articles_l71eof2w28tn36ahi112.gif,124,-1,-1,-1.0,1118,734,False,0,11980,,,2067,engine_silent_failure
/Users/lachlants/Documents/GIFs/Website/fixkey_ai.gif,155,150,5,3.2,774,680,True,0,16170,16170,True,809,ok
/Users/lachlants/Documents/GIFs/Website/bauerfeind.com.au:products:sports-knee-brace?variant=41866420125744.gif,216,-1,-1,-1,480,270,True,0,14390,,,5428,skipped_too_large
/Users/lachlants/Documents/GIFs/Website/64e57f8915d0d761adf61735_gif_ALIEN_WARP_WEB-05.gif,6,6,0,0.0,300,379,True,0,600,,,83,ok
/Users/lachlants/Documents/GIFs/Website/71xkeTePFRL.gif,60,60,0,0.0,2150,240,True,0,2400,,,206,ok
/Users/lachlants/Documents/GIFs/Website/not-found.1cf82301.gif,7,7,0,0.0,768,512,False,0,3500,,,873,ok
/Users/lachlants/Documents/GIFs/Website/rcs-evolution.gif,47,47,0,0.0,728,90,False,0,0,,,66,ok
/Users/lachlants/Documents/GIFs/Website/original.gif,50,41,9,18.0,1760,824,True,0,4000,4000,True,824,ok
/Users/lachlants/Documents/GIFs/Website/681b910e58e074aff61bfc44_68747470733a2f2f75736572696d672d6173736574732e637573746f6d6572696f6d61696c2e636f6d2f696d616765732f636c69656e742d656e762d39393639372f313734343231393633353339325f74696d65626f78696e67253230332e302532306769665f31395f303.gif,117,-1,-1,-1.0,900,722,False,0,9360,,,2759,timeout
/Users/lachlants/Documents/GIFs/Website/a77e5c36-ad54-4c88-897e-cca9118c0749.gif,48,47,1,2.1,284,450,True,0,4800,4800,True,1417,ok
/Users/lachlants/Documents/GIFs/Website/64e84ea7006ccc7100a67c78_Property 1=SUN_SPIKEY_WEB 1.gif,4,4,0,0.0,300,367,True,0,400,,,114,ok
/Users/lachlants/Documents/GIFs/test gifs/https___mcusercontent.com_89a526c8542b32391a02ddfec_images_e4c92084-1239-06e1-9564-0caf0eea7f17.gif,300,-1,-1,-1,720,480,True,0,10010,,,5954,skipped_too_large
/Users/lachlants/Documents/GIFs/test gifs/https___mcusercontent.com_09202d672e6c4a5aa81916e2c_images_de16d988-056e-797a-5438-cf1202f72c94.gif,42,-1,-1,-1.0,648,648,True,0,1710,,,2621,timeout
/Users/lachlants/Documents/GIFs/test gifs/https___mcusercontent.com_89a526c8542b32391a02ddfec_images_f37e4fb7-eb98-3a2d-c8a5-20424606d826.gif,20,20,0,0.0,1000,681,True,0,10010,,,1949,ok
/Users/lachlants/Documents/GIFs/test gifs/https___mcusercontent.com_0682bb2f1d62db2dad6a2ed4b_images_da8e365e-0401-ebab-3906-953a6fb158c3.gif,126,112,14,11.1,1080,574,True,0,5040,5040,True,665,ok
